ramp_PG_sa_lr1,ramp_PG_sa_lr0.1,ramp_A3C_sa_lr1,ramp_A3C_sa_lr0.1,ramp_A3C_sa_lr0.01,ramp_PPO_sa_lr5e-5,ramp_PG_ma_lr0.01,ramp_A3C_ma_lr0.01,ramp_PPO_ma_lr0.1,ramp_PPO_ma_lr5e-5,,,ramp_len100_pos300,ramp_len150_pos300,ramp_len200_pos300,ramp_len200_pos200,ramp_len200_pos250,ramp_len200_pos350,ramp_len250_pos300,ramp_turn
-24247.9729,-24254.31156,-33005.55829,-43393.26731,-40326.94749,nan,-3921.750956,-33779.86472,-25104.34155,-1578.948715,,,-3267.312227,nan,-3629.709471,-3107.389848,-3114.705565,-3626.03691,-4015.32853,-187.0713035
-24273.42613,-24171.75612,-33005.55829,-42647.24129,-40326.94749,nan,-4122.308304,-33381.61357,-25508.09443,-1553.105908,,,-3215.943303,nan,-3524.671541,-3288.461233,-3083.310605,-3984.399455,-3835.560977,-192.9108922
-23969.87774,-23853.87415,-33005.55829,-42647.24129,-40326.94749,nan,-4346.282151,-33381.61357,-25129.5544,-1522.383985,,,-3222.053899,nan,-3656.813389,-3065.074216,-3188.677672,-3661.771502,-3960.986936,-198.1920198
-24286.40629,-24119.69483,-32551.75519,-42647.24129,-40326.94749,nan,-5322.196078,-33247.99564,-25223.21785,-1444.782082,,,-3098.452711,nan,-3577.627667,-3222.8949,-3243.332683,-3712.06875,-3960.059666,-194.8273058
-24639.17726,-24465.05919,-32209.98473,-42647.24129,-40326.94749,nan,-6844.897756,-33247.99564,-25130.21963,-1417.822802,,,-3164.47645,nan,-3597.681257,-3160.211099,-3156.92247,-3602.744476,-3992.223224,-189.7114058
-24258.37494,-24002.99643,-31902.97102,-42647.24129,-38558.88633,nan,-10726.53228,-33247.99564,-25218.58132,nan,,,-3143.990421,nan,-3623.808257,-3050.595438,-3249.595504,-3786.526969,-3934.241561,-199.8007664
-24231.95156,-24375.17895,-31902.97102,-42647.24129,-38558.88633,nan,-18175.47141,-33247.99564,-25309.07913,nan,,,-3164.299726,nan,-3678.577964,-3195.391763,-3208.559541,-3837.617441,-3990.096151,-185.102233
-24343.56045,-24226.49612,-31902.97102,-42647.24129,-38558.88633,nan,-19932.20177,-32758.06015,-24919.64632,nan,,,-3220.344155,nan,-3662.657759,-3246.783638,-3069.54432,-3718.192434,-3866.424888,-169.469471
-24087.70024,-24442.34246,-31726.83432,-42647.24129,-38019.22601,nan,-16417.98427,-32758.06015,-25378.6436,nan,,,-3256.301826,nan,-3668.066604,-3307.470857,-3088.539775,-3807.800149,-3925.022207,-177.8931419
-24400.05603,-24258.92808,-31726.83432,-41853.37176,-38019.22601,nan,-5287.201066,-32585.87209,-24972.00797,nan,,,-3086.017501,nan,-3622.041658,-3261.30264,-3173.941141,-3761.309034,-3981.950253,-167.8653849
-24349.42625,-24584.08862,-31726.83432,-41211.33178,-38019.22601,nan,-5962.305624,-32585.87209,-24983.96969,nan,,,-3100.352439,nan,-3660.04241,-3246.196979,-3112.82071,-3798.507257,-3945.417194,-162.6366617
-24487.68993,-24256.54434,-31726.83432,-41211.33178,-38019.22601,nan,-7709.303721,-32585.87209,-25131.05545,nan,,,-3028.868113,nan,-3587.160951,-3269.877886,-3092.683128,-3635.200765,-3834.219372,-161.2138334
-24006.93396,-24183.95179,-31726.83432,-41211.33178,-38019.22601,nan,-9153.715788,-32585.87209,-25069.9366,nan,,,-2978.661898,nan,-3599.346516,-3140.266121,-3135.719645,-3790.536343,-3783.737189,-167.7188111
-24471.98868,-24060.98657,-31726.83432,-39927.55053,-38019.22601,nan,-9688.016135,-32111.3377,-25394.88312,nan,,,-2922.224996,nan,-3518.804487,-3222.632617,-3078.745887,-3788.497235,-3942.760465,-168.2817929
-24058.81353,-24377.45253,-31726.83432,-39927.55053,-38019.22601,nan,-9889.3126,-32111.3377,-24955.36862,nan,,,-3075.23003,nan,-3517.075583,-3205.822407,-3067.841006,-3633.934846,-3870.492418,-170.1883385
-24222.4366,-24053.5586,-31449.82053,-39927.55053,-38019.22601,nan,-9630.699112,-32111.3377,-25273.8755,nan,,,-3041.570734,nan,-3450.988256,-3184.658313,-2983.067499,-3673.378715,-4021.287277,-171.8097682
-24341.07505,-24431.50386,-31126.58186,-39927.55053,-38019.22601,nan,-9756.502608,-32088.25768,-25016.4185,nan,,,-3194.428349,nan,-3342.572572,-3112.144104,-3155.769781,-3903.682063,-3975.710784,-180.155136
-24265.42804,-23933.76632,-30942.79858,-39927.55053,-36995.62128,nan,-10805.54184,-32088.25768,-25440.03361,nan,,,-3205.244795,nan,-3533.253382,-3006.926944,-3050.808081,-3781.203407,-3849.030828,-168.0643351
-24134.49117,-24208.03881,-30942.79858,-39927.55053,-36598.74393,nan,-10844.75227,-32088.25768,-25339.54938,nan,,,-3116.146995,nan,-3437.949546,-3105.250535,-3164.731412,-3775.098456,-3937.667656,-161.8046598
-24445.89852,-24275.4937,-30942.79858,-39927.55053,-36598.74393,nan,-11424.67712,-31711.61011,-25164.33994,nan,,,-3144.254306,nan,-3519.769315,-3192.363812,-3316.641194,-3630.865859,-3903.470727,-166.2168237
-24287.04748,-24192.38974,-30712.26785,-39927.55053,-36232.79857,nan,-10096.53511,-31711.61011,-25236.58347,nan,,,-3141.844528,nan,-3393.841599,-3053.393334,-3259.390389,-3681.141324,-3771.180536,-162.2308964
-24374.59956,-24297.65147,-30712.26785,-39416.98248,-36232.79857,nan,-10029.46168,-31711.61011,-25400.88508,nan,,,-2980.2364,nan,-3533.774107,-3187.264883,-3216.78838,-3518.460436,-3896.745733,-164.3207271
-24472.63049,-24354.66453,-30712.26785,-38892.53542,-36232.79857,nan,-12213.63566,-31624.47679,-25303.28422,nan,,,-3033.200513,nan,-3594.061354,-3077.798996,-3078.900401,-3438.779701,-3850.427128,-175.4633311
-24226.64575,-24167.08041,-30712.26785,-38892.53542,-36232.79857,nan,-13613.81006,-31624.47679,-24926.23601,nan,,,-3127.421859,nan,-3810.975337,-3131.980922,-3059.297043,-3554.8703,-4004.41874,-180.3799141
-24140.03699,-24270.63618,-30712.26785,-38298.53495,-36232.79857,nan,-12246.43583,-31624.47679,-24867.09533,nan,,,-2869.705767,nan,-3722.533094,-3200.23242,-3342.390511,-3530.862045,-3919.865049,-172.3902414
-24627.832,-23813.29204,-30712.26785,-38298.53495,-36232.79857,nan,-10576.69568,-31239.00533,-24893.80451,nan,,,-2850.841794,nan,-3728.099427,-3195.122727,-3205.161809,-3479.294157,-3997.784194,-177.1413727
-24229.8302,-24483.57264,-30712.26785,-37887.34115,-36232.79857,nan,-8545.52917,-31239.00533,-24972.82596,nan,,,-2903.518499,nan,-3887.411804,-3297.062582,-3280.540047,-3517.988759,-3929.808721,-167.7649248
-24286.32647,nan,-30471.73551,-37887.34115,-36232.79857,nan,-7484.187497,-31239.00533,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-24490.97154,nan,-30319.42132,-37887.34115,-35873.82556,nan,-6623.963032,-31086.02535,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-24260.22968,nan,-30122.88812,-37887.34115,-35644.97346,nan,-6284.526767,-31086.02535,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-24305.74279,nan,-30122.88812,-37887.34115,-35433.79657,nan,-6017.581127,-31086.02535,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-24556.08005,nan,-30122.88812,-37887.34115,-35433.79657,nan,-5862.297678,-31086.02535,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-23933.61953,nan,-29956.93698,-37428.31518,-35433.79657,nan,-5648.931849,-30895.27117,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-24453.06454,nan,-29956.93698,-37428.31518,-35223.4167,nan,-5711.86304,-30803.18368,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-24415.29154,nan,-29956.93698,-37083.73296,-35223.4167,nan,-5374.919471,-30803.18368,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
-24180.85863,nan,-29956.93698,-37083.73296,-35223.4167,nan,-5089.387579,-30803.18368,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,-29956.93698,-36730.27834,-35223.4167,nan,-4681.277487,-30803.18368,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan
